customer_id,order_id,customer_name,email,phone,order_date,ship_date,city,state,postal_code,product,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,is_returning_customer,customer_rating,delivery_days,sales_channel,notes
14696,ORD-2025-001001,"Aarav Mehta",aarav.mehta96@outlook.com,09845130715,NULL,2024-03-05,Ahmedabad,Gujarat,554871,Laptop,4,1525.64,5.00,5797.43,cash,cancelled,0,4.5,9,store,NULL
15858,ORD-2023-001002,"Zoya Verma",zoya.verma58@example.com,+91-9839421888,2024-04-29,2024-05-04,Hyderabad,NULL,585582,Keyboard,1,2224.20,0.00,2224.20,credit_card,returned,0,NULL,3,partner,"call before delivery"
16384,ORD-2022-001003,"Zoya Nair",zoya.nair84@gmail.com,+91-9852702125,2022-01-17,2022-01-27,Bengaluru,Karnataka,360866,NULL,4,1473.49,0.00,5893.96,upi,pending,1,NULL,6,partner,"call before delivery"
10550,ORD-2023-001004,"Sana Iyer",sana.iyer50@gmail.com,7770611557,2024-01-01,2024-01-03,Delhi,NULL,436298,Smartphone,5,1045.19,0.00,5225.95,upi,pending,0,3.0,6,"mobile app","promo code used"
16244,ORD-2023-001005,"Rahul Reddy",rahul.reddy44@example.com,09849486861,2024-06-16,2024-06-24,Kolkata,"West Bengal",273121,Webcam,3,NULL,20.00,3314.90,upi,cancelled,1,5.0,7,store,"gift wrap"
13327,ORD-2024-001006,"Neha Gupta",neha.gupta27@outlook.com,+91-9874336254,2024-03-04,2024-03-12,Hyderabad,Telangana,249033,Printer,4,1281.53,25.00,3844.59,upi,shipped,0,4.0,NULL,"mobile app","Priority customer"
16054,ORD-2022-001007,"Priya Iyer",priya.iyer54@outlook.com,7345980113,2023-10-31,2023-11-12,Kochi,Kerala,496516,"Hard Drive",2,1004.84,25.00,1507.26,upi,pending,1,NULL,14,online,"Priority customer"
11741,ORD-2022-001008,"Karan Das",karan.das41@yahoo.com,+91-9889529360,2024-12-17,2024-12-28,Hyderabad,Telangana,677220,Mouse,3,1601.50,25.00,3603.38,cash,returned,0,NULL,14,"mobile app","late delivery complaint"
16633,ORD-2025-001009,"Ananya Patel",ananya.patel33@outlook.com,09880844992,2025-11-06,2025-11-11,Chennai,"Tamil Nadu",570370,Headphones,5,NULL,10.00,4281.07,"credit card",shipped,1,5.0,4,online,"call before delivery"
12783,ORD-2022-001010,"Karan Reddy",â€”,09847711119,2022-12-16,2022-12-24,Hyderabad,Telangana,538314,Keyboard,1,2067.07,15.00,1757.01,cash,â€”,0,NULL,7,"mobile app","Priority customer"
11053,ORD-2024-001011,"Sana Mehta",sana.mehta53@yahoo.com,7763264994,2023-12-18,NULL,Ahmedabad,Gujarat,171706,"Hard Drive",4,597.16,10.00,2149.78,cash,completed,NULL,4.5,6,partner,"late delivery complaint"
10797,ORD-2024-001012,"Aarav Mehta",NULL,8409392429,2025-11-20,2025-11-24,Bengaluru,Karnataka,592217,Printer,3,1080.57,25.00,2431.28,"credit card",cancelled,1,3.0,3,online,"late delivery complaint"
15153,ORD-2022-001013,"Karan Verma",karan.verma53@outlook.com,09865391477,NULL,2022-02-17,Hyderabad,Telangana,347061,N/A,3,783.20,NULL,1997.16,"credit card",completed,0,5.0,12,online,"late delivery complaint"
14349,ORD-2024-001014,"Priya Mehta",priya.mehta49@gmail.com,+91-9853831241,2022-08-05,NULL,Ahmedabad,Gujarat,315553,Tablet,4,1441.62,15.00,4901.51,upi,pending,NULL,5.0,7,partner,NULL
