customer_id,order_id,customer_name,email,phone,order_date,ship_date,city,state,postal_code,product,quantity,unit_price,discount_pct,total_amount,payment_method,order_status,is_returning_customer,customer_rating,delivery_days,sales_channel,notes
15238,ORD-2022-000001,NA,aarav.verma38@outlook.com,+91-9890801586,2023-04-03,2023-04-06,Hyderabad,Telangana,277415,Mouse,1,1697,15,1442.11,upi,Returned,No,4.5,12,Mobile App,gift wrap
13113,ORD-2024-000002,Diya Das,diya.das13@outlook.com,09831931511,2024-01-29,2024-02-04,Bengaluru,Karnataka,143660,Tablet,2,1680.39,20,2688.62,UPI,Shipped,No,2,3,Online,gift wrap
16488,ORD-2025-000003,Zoya Patel,zoya.patel88@example.com,9301106403,2025-05-05,13/05/2025,Pune,Maharashtra,297331,Smartphone,5,639.76,15,2718.98,Credit Card,N/A,No,4,8,Store,
11352,ORD-2024-000004,Arjun Joshi,arjun.joshi52@example.com,+91-9826240908,2025-01-09,2025-01-21,Hyderabad,Telangana,142939,Smartphone,2,1786.68,10,3216.02,upi,Completed,No,5,11,Mobile App,Priority customer
11558,ORD-2025-000005,Rohan Singh,rohan.singh58@yahoo.com,+91-9811980765,2024-08-05,null,null,Tamil Nadu,587111,Printer,1,1116.18,25,837.13,upi,Shipped,Yes,4,4,Store,Priority customer
13434,ORD-2024-000006,Sana Reddy,sana.reddy34@yahoo.com,8667858669,06/10/2023,2023-10-10,Lucknow,Uttar Pradesh,497478,Webcam,3,998.53,20,2396.47,credit_card,Completed,Yes,4.5,11,Mobile App,null
16794,ORD-2024-000007,Aarav Sharma,aarav.sharma94@outlook.com,09883227889,"Jul 28, 2025",2025-08-02,Bengaluru,Karnataka,485191,Monitor,2,1856.96,15,3156.83,PayPal,—,No,2,13,Online,gift wrap
13770,ORD-2024-000008,Vikram Iyer,vikram.iyer70@yahoo.com,+91-9881969657,2025-09-13,unknown,Mumbai,Maharashtra,438915,Printer,4,830.73,25,2492.19,Net Banking,Cancelled,No,4,5,Mobile App,call before delivery
11571,ORD-2025-000009,Neha Singh,neha.singh71@yahoo.com,09872409658,2025-03-11,2025-03-16,Kochi,Kerala,461471,Monitor,4,"1,376.62",0,"$5,506.48",Net Banking,Returned,Yes,4,4,Partner,gift wrap
10994,ORD-2025-000010,Rohan Nair,rohan.nair94@outlook.com,7191043170,2025-06-08,2025-06-20,Jaipur,Rajasthan,194492,Monitor,5,1075.45,15,4570.66,PayPal,Completed,No,1,14,Store,call before delivery
10237,ORD-2025-000011,Ananya Das,ananya.das37@example.com,09834391257,2024-08-15,2024-08-18,Bengaluru,Karnataka,374526,unknown,5,1342.30,,6040.35,Credit Card,Pending,Yes,1,3,Online,gift wrap
10885,ORD-2022-000012,Sana Reddy,sana.reddy85@example.com,+91-9826247735,2023-02-11,2023-02-13,Pune,Maharashtra,220666,Mouse,5,1731.18,20,6924.72,upi,Shipped,Yes,excellent,8,N/A,gift wrap
12906,ORD-2024-000013,Ananya Reddy,ananya.reddy6@outlook.com,+91-9875876924,2022-01-21,2022-01-30,Ahmedabad,Gujarat,556174,Printer,2,227.75,20,364.40,credit_card,Returned,No,1,3,Store,Priority customer
15713,ORD-2023-000014,Neha Nair,neha.nair13@gmail.com,+91-9818770247,2025-03-21,2025-03-26,Mumbai,Maharashtra,546391,Hard Drive,4,1204.60,5,4577.48,Net Banking,Pending,No,3,3,Partner,gift wrap
12316,ORD-2025-000015,Isha Das,isha.das16@yahoo.com,09832269779,2025-07-04,2025-07-14,Chennai,Tamil Nadu,395471,Webcam,2,1071.47,15,1821.50,Cash,Cancelled,Yes,1,10,Online,
15489,ORD-2022-000016,Karan Khan,karan.khan89@outlook.com,09825558733,unknown,unknown,Pune,Maharashtra,573514,Monitor,3,1661.52,10,4486.10,UPI,Shipped,Yes,excellent,11,Mobile App,call before delivery
13952,ORD-2025-000017,Meera Nair,meera.nair52@yahoo.com,+91-9878147397,2023-01-26,2023-02-05,Pune,Maharashtra,471889,Printer,5,1869.54,0,9347.70,upi,Returned,unknown,4.5,14,NA,
11264,ORD-2022-000018,Diya Reddy,diya.reddy64@outlook.com,—,2025-11-19,2025-11-26,Kochi,Kerala,215390,Keyboard,1,2131.64,25,1598.73,credit_card,Shipped,Yes,2,5,Partner,promo code used
10605,ORD-2025-000019,Ananya Joshi,ananya.joshi5@outlook.com,09858178682,2024-05-18,2024-05-30,Lucknow,Uttar Pradesh,161427,Webcam,3,1150.24,5,3278.18,PayPal,Pending,Yes,4.5,2,Partner,gift wrap
17179,ORD-2024-000020,Arjun Mehta,arjun.mehta79@outlook.com,9632444865,unknown,06-19-2023,Bengaluru,Karnataka,509535,Mouse,unknown,1870.20,5,5330.07,Net Banking,Pending,Yes,4,9,Partner,promo code used
13398,ORD-2022-000021,Karan Nair,karan.nair98@example.com,+91-9883076970,2022-03-09,2022-03-21,Chennai,Tamil Nadu,132395,Mouse,not available,$554.92,10,1498.28,credit_card,NA,Yes,4,1,Store,Priority customer
10429,ORD-2023-000022,Rahul Singh,rahul.singh29@gmail.com,09879987997,02/09/2024,2024-09-10,Delhi,Delhi,575109,Smartphone,3,1290.40,0,3871.20,Cash,Completed,Yes,N/A,4,Partner,
15976,ORD-2022-000023,Ananya Singh,ananya.singh76@outlook.com,+91-9860015814,2023-06-07,06-13-2023,Lucknow,Uttar Pradesh,163946,Hard Drive,2,1721.75,10,3099.15,UPI,Returned,Yes,N/A,12,NA,late delivery complaint
10570,ORD-2023-000024,Rahul Das,rahul.das70@gmail.com,+91-9890023800,2024-12-22,12-26-2024,Delhi,Delhi,544304,Printer,4,1058.28,null,4021.46,credit_card,Pending,No,excellent,not available,Store,promo code used
10590,ORD-2025-000025,Karan Verma,karan.verma90@gmail.com,+91-9864362516,2022-02-08,2022-02-16,Pune,Maharashtra,529903,Tablet,1,2157.34,15,1833.74,UPI,Pending,Yes,3,11,Partner,late delivery complaint
13677,ORD-2024-000026,Karan Das,karan.das77@outlook.com,+91-9871974027,2024-06-19,2024-06-21,Bengaluru,Karnataka,153016,Hard Drive,4,1113.89,5,4232.78,Cash,Completed,No,3,5,Online,promo code used
12700,ORD-2022-000027,Arjun Das,arjun.das0@example.com,+91-9898054173,2023-06-01,2023-06-13,Chennai,Tamil Nadu,661964,Tablet,5,2185.10,5,10379.23,UPI,Completed,Yes,3,3,Store,Priority customer
15540,ORD-2023-000028,Diya Joshi,diya.joshi40@outlook.com,09869135982,2023-04-25,2023/05/04,Jaipur,Rajasthan,164715,Mouse,2,784.03,25,1176.05,upi,Pending,No,5.0,4,,promo code used
16482,ORD-2023-000029,Rohan Sharma,rohan.sharma82@outlook.com,+91-9891722503,2025-11-26,2025-11-29,Jaipur,Rajasthan,634109,Laptop,4,N/A,0,4519.08,UPI,Shipped,Yes,5.0,5,Online,promo code used
10849,ORD-2024-000030,Rohan Sharma,rohan.sharma49@outlook.com,09871428713,2023-11-25,2023-12-06,Ahmedabad,Gujarat,606396,Monitor,2,2078.50,20,3325.60,upi,Pending,No,1,12,Store,N/A
15414,ORD-2024-000031,Vikram Nair,vikram.nair14@example.com,8882712850,2025-11-13,unknown,Bengaluru,Karnataka,242362,Mouse,NA,1126.12,20,2702.69,upi,Cancelled,Y,5.0,2,Partner,late delivery complaint
14023,ORD-2023-000032,Isha Khan,isha.khan23@gmail.com,09883819367,2022-12-20,2023-01-01,Jaipur,Rajasthan,237258,Headphones,4,2493.20,25,7479.60,upi,Returned,No,4.5,8,Store,late delivery complaint
11490,ORD-2023-000033,Kabir Mehta,kabir.mehta90@gmail.com,+91-9848124318,2024-11-27,2024-11-30,Delhi,Delhi,271685,Hard Drive,3,424.17,—,1208.88,credit_card,Returned,Yes,1,5,Partner,Priority customer
11294,ORD-2025-000034,Kabir Nair,kabir.nair94@example.com,+91-9859733063,2023-11-28,2023-12-08,Hyderabad,Telangana,548447,Headphones,2,791.77,20,1266.83,Credit Card,Shipped,Yes,5,10,Partner,Priority customer
13530,ORD-2023-000035,Sana Reddy,sana.reddy30@outlook.com,9544685115,01-20-2024,2024-01-21,Pune,Maharashtra,261276,Printer,—,142.13,15,483.24,Cash,Returned,No,N/A,12,Online,null
14781,ORD-2024-000036,Priya Verma,priya.verma81@gmail.com,9529008370,2024-08-29,2024-09-03,Kochi,Kerala,323796,Hard Drive,5,"$1,450.42",20,5801.68,UPI,Returned,No,1,4,Mobile App,call before delivery
15774,ORD-2023-000037,Rahul Verma,rahul.verma74@example.com,+91-9862953249,2024-09-09,2024-09-15,Kolkata,West Bengal,321884,Keyboard,5,2335.25,25,8757.19,Credit Card,Cancelled,Yes,N/A,3,Partner,gift wrap
12353,ORD-2024-000038,Vikram Das,vikram.das53@gmail.com,09814877451,2025-08-28,2025-09-07,Delhi,Delhi,222513,Mouse,2,1344.85,20,2151.76,credit_card,Cancelled,Yes,2,14,Partner,Priority customer
10781,ORD-2023-000039,Rohan Nair,rohan.nair81@outlook.com,7544264464,2022-01-14,"Jan 19, 2022",Hyderabad,Telangana,436085,Keyboard,4,600.27,25,1800.81,PayPal,Pending,Yes,4.5,not available,Store,gift wrap
16999,ORD-2025-000040,Isha Das,isha.das99@yahoo.com,+91-9872059365,2024-09-28,N/A,Kochi,Kerala,173183,Smartphone,5,1122.02,0,5610.10,upi,Returned,Yes,3,7,Store,Priority customer
13792,ORD-2025-000041,Arjun Singh,arjun.singh92@yahoo.com,+91-9812099943,01/08/2024,—,Hyderabad,Telangana,675980,Laptop,2,699.99,20,1119.98,credit_card,Shipped,No,3,N/A,Partner,call before delivery
13344,ORD-2023-000042,Vikram Singh,vikram.singh44@yahoo.com,+91-9865902739,2024-08-27,31/08/2024,Ahmedabad,Gujarat,309735,Tablet,2,762.33,20,1219.73,UPI,Completed,Yes,excellent,12,Store,call before delivery
14371,ORD-2024-000043,Vikram Reddy,vikram.reddy71@outlook.com,+91-9865556767,15/10/2024,2024-10-23,Ahmedabad,Gujarat,351193,Monitor,1,2010.00,20,1608.00,PayPal,Pending,No,5,14,Online,
15166,ORD-2023-000044,Isha Verma,isha.verma66@yahoo.com,8285835206,24/03/2023,2023-04-02,Mumbai,Maharashtra,561489,Headphones,4,942.40,15,3204.16,upi,Pending,Yes,4,null,Partner,
15757,ORD-2023-000045,Isha Nair,isha.nair57@example.com,+91-9846385762,2023-11-10,2023-11-20,Lucknow,NA,261196,Tablet,1,2238.56,0,2238.56,PayPal,Completed,1,4,13,N/A,
12914,ORD-2025-000046,Kabir Khan,kabir.khan14@example.com,+91-9862294176,2025-06-20,2025-06-25,Delhi,Delhi,647334,Laptop,2,1787.07,0,3574.14,Cash,Pending,Yes,1,8,Mobile App,
null,ORD-2024-000047,Meera Verma,meera.verma58@example.com,09869085720,2025-06-16,"Jun 20, 2025",Kochi,Kerala,439446,Tablet,4,280.83,5,1067.15,Credit Card,Pending,Yes,excellent,4,Online,
11140,ORD-2024-000048,Meera Reddy,meera.reddy40@yahoo.com,09882966824,2024-02-12,2024-02-14,Pune,Maharashtra,284419,Laptop,4,2476.89,10,8917,Net Banking,Shipped,Yes,N/A,1,Online,promo code used
12555,ORD-2024-000049,Diya Iyer,diya.iyer55@example.com,6469709122,2024-09-02,2024-09-04,Kolkata,West Bengal,594499,Tablet,4,1809.15,10,NA,credit_card,Completed,Yes,4,14,Mobile App,late delivery complaint
10935,ORD-2024-000050,Ananya Nair,ananya.nair35@yahoo.com,09878561753,2025-12-16,2025-12-21,Lucknow,Uttar Pradesh,291650,Webcam,5,1481.57,20,5926.28,Cash,Returned,No,excellent,10,NA,late delivery complaint
16395,ORD-2025-000051,Zoya Verma,zoya.verma95@example.com,09883330295,2024-11-12,2024-11-14,Ahmedabad,Gujarat,201209,Smartphone,5,298.80,25,1120.50,credit_card,Completed,No,1,5,Online,
12271,ORD-2023-000052,Rahul Khan,rahul.khan71@yahoo.com,6324339920,2025-12-27,2026-01-02,Bengaluru,Karnataka,621752,Laptop,2,1907.26,20,3051.62,upi,Returned,No,excellent,—,NA,
13504,ORD-2023-000053,Rahul Khan,rahul.khan4@outlook.com,+91-9841426254,16/07/2023,"Jul 18, 2023",Bengaluru,—,470264,Tablet,3,$637.22,5,1816.08,PayPal,Pending,Yes,3,12,Partner,
10710,ORD-2022-000054,Rohan Patel,rohan.patel10@example.com,09898369672,2024-05-29,2024-06-04,Kolkata,West Bengal,360968,Smartphone,2,N/A,20,1009.20,UPI,Pending,NA,5,13,Partner,unknown
14404,ORD-2023-000055,Vikram Patel,vikram.patel4@outlook.com,,2024-11-13,—,Delhi,Delhi,NA,Laptop,2,1347.93,10,2426.27,Credit Card,Completed,No,4,9,Store,call before delivery
17325,ORD-2022-000056,Meera Verma,—,09866286795,2022-01-26,2022-01-30,Mumbai,Maharashtra,165231,Printer,1,1187.34,10,NA,UPI,Cancelled,Yes,excellent,13,Store,unknown
12837,ORD-2022-000057,Ananya Sharma,ananya.sharma37@example.com,+91-9822485824,2022-08-01,2022-08-05,Chennai,Tamil Nadu,250000,Tablet,5,2458.04,10,11061.18,Net Banking,Returned,Yes,4,3,Online,gift wrap
13795,ORD-2024-000058,Karan Patel,karan.patel95@gmail.com,6210241300,2025-11-06,2025-11-11,Bengaluru,Karnataka,209327,Headphones,5,115.22,25,432.08,Cash,,Yes,3,14,Online,Priority customer
14701,ORD-2025-000059,Karan Verma,karan.verma1@example.com,+91-9892423989,2022-03-02,2022-03-09,Jaipur,Rajasthan,661357,Printer,4,444.43,0,1777.72,unknown,N/A,Yes,4.5,4,Store,NA
14716,ORD-2025-000060,Ananya Khan,ananya.khan16@yahoo.com,09876065552,28/04/2025,null,unknown,Telangana,246829,Headphones,3,"2,286.24",0,6858.72,Credit Card,Returned,No,3,7,Mobile App,late delivery complaint
—,ORD-2024-000061,Meera Das,meera.das27@yahoo.com,6782035199,2023-09-21,2023-10-03,Pune,Maharashtra,191587,Mouse,3,331.46,20,795.50,Credit Card,Completed,Yes,3,8,Partner,
14735,ORD-2023-000062,Rohan Nair,rohan.nair35@gmail.com,7451486688,2023-08-27,2023-08-28,Mumbai,Maharashtra,166158,Monitor,3,663.90,0,1992,Cash,Pending,Yes,excellent,1,Online,Priority customer
13256,ORD-2025-000063,Diya Das,diya.das56@outlook.com,+91-9840365724,2025-08-07,2025-08-16,Delhi,Delhi,348565,Tablet,4,474.43,10,"$1,707.95",unknown,Shipped,0,3,,Partner,promo code used
14874,ORD-2024-000064,Ananya Verma,ananya.verma74@gmail.com,09888863127,"Mar 05, 2024",2024-03-14,Delhi,Delhi,215897,Printer,4,1386.85,25,4160.55,Net Banking,Completed,null,1,1,Mobile App,
15610,ORD-2022-000065,Karan Iyer,karan.iyer10@yahoo.com,09879323646,2024-06-26,2024-07-02,Chennai,Tamil Nadu,140355,Monitor,3,1826.07,15,4656.48,Credit Card,Pending,0,4.5,14,Online,unknown
16388,ORD-2023-000066,NA,karan.iyer88@yahoo.com,09811135982,2023-02-28,2023-03-05,Lucknow,Uttar Pradesh,591295,Webcam,4,—,25,3871.50,UPI,Completed,No,1,12,Store,gift wrap
16598,ORD-2025-000067,Neha Gupta,neha.gupta98@yahoo.com,9120507945,2025-09-04,2025-09-12,Mumbai,Maharashtra,299935,Webcam,3,659.67,10,"$1,781.11",Net Banking,Returned,No,excellent,8,Online,gift wrap
17106,ORD-2025-000068,Arjun Reddy,arjun.reddy6@example.com,09820846331,2022/11/05,08/11/2022,Mumbai,Maharashtra,276132,Smartphone,2,866.53,15,1473.10,UPI,Shipped,Yes,4.5,2,Store,Priority customer
12382,ORD-2025-000069,Rahul Mehta,rahul.mehta82@outlook.com,+91-9864142310,"Nov 07, 2025",2025-11-10,Pune,Maharashtra,149179,Keyboard,3,"2,490.41",,6724.11,Cash,Pending,Yes,N/A,10,Online,
16428,ORD-2022-000070,Diya Iyer,diya.iyer28@yahoo.com,,2024-12-07,2024-12-11,Chennai,Tamil Nadu,216211,Monitor,3,"1,763.04",5,5024.66,upi,Completed,Y,3,8,Online,call before delivery
13283,ORD-2025-000071,Diya Reddy,diya.reddy83@example.com,9445701000,2024-05-13,—,Jaipur,Rajasthan,247003,Webcam,2,295.95,20,473.52,Cash,Cancelled,Yes,excellent,11,NA,late delivery complaint
16978,ORD-2025-000072,Karan Khan,karan.khan78@gmail.com,7907776673,2023-10-19,10-23-2023,Jaipur,Rajasthan,unknown,Laptop,3,2425.81,0,7277.43,PayPal,Pending,No,excellent,6,N/A,promo code used
12391,ORD-2024-000073,Rahul Patel,rahul.patel91@gmail.com,—,2024-10-05,2024-10-08,Bengaluru,Karnataka,251177,Laptop,4,280.80,15,954.72,Net Banking,Completed,No,2,6,Store,late delivery complaint
16131,ORD-2024-000074,Karan Verma,karan.verma31@outlook.com,8164205833,2025-07-19,2025-07-23,Ahmedabad,Gujarat,547758,Printer,2,NA,20,857.82,UPI,Pending,No,4.5,2,Store,late delivery complaint
N/A,ORD-2024-000075,Rahul Das,rahul.das85@gmail.com,9914804162,2024-03-04,2024-03-11,Pune,Maharashtra,418468,Smartphone,3,2415.10,0,7245.30,UPI,Pending,No,1,10,Mobile App,gift wrap
16441,ORD-2023-000076,Kabir Mehta,kabir.mehta41@example.com,+91-9885341065,2023-12-17,2023-12-21,Delhi,Delhi,446527,Smartphone,2,1663.39,5,3160.44,Net Banking,Shipped,Yes,4,11,Partner,gift wrap
15756,ORD-2025-000077,Neha Patel,neha.patel56@yahoo.com,09844715141,2024-07-29,2024-08-10,—,Maharashtra,157728,Smartphone,3,109.15,0,327.45,Credit Card,Shipped,No,1,3,Mobile App,Priority customer
14547,ORD-2023-000078,Isha Sharma,isha.sharma47@gmail.com,9656987906,2025-05-06,2025-05-13,Kochi,Kerala,167031,Printer,5,"$1,375.60",0,6878.00,Net Banking,Cancelled,Yes,1,3,Mobile App,NA
16436,ORD-2023-000079,Rahul Verma,rahul.verma36@example.com,09891420187,"Jan 07, 2024",2024-01-10,Chennai,Tamil Nadu,129536,Laptop,3,N/A,10,5930.69,UPI,Shipped,No,5.0,1,Store,gift wrap
11467,ORD-2023-000080,Rahul Verma,rahul.verma67@example.com,09862088975,24/03/2022,03-28-2022,Kolkata,West Bengal,386107,Hard Drive,4,590.90,5,2245.42,UPI,Cancelled,NA,excellent,2,Store,call before delivery
16692,ORD-2022-000081,,neha.iyer92@example.com,6578635360,2022-08-21,2022/08/29,Kolkata,West Bengal,129525,Keyboard,4,1205.37,15,4098.26,PayPal,Shipped,No,4,unknown,Partner,null
17385,ORD-2022-000082,Sana Mehta,sana.mehta85@gmail.com,+91-9880067590,2024-09-14,2024-09-25,Delhi,Delhi,212464,Keyboard,2,2256.43,15,3835.93,Cash,—,Yes,4.5,7,Partner,late delivery complaint
15575,ORD-2025-000083,Priya Iyer,priya.iyer75@example.com,9672192390,2025-02-15,2025-02-23,Ahmedabad,Gujarat,164582,Laptop,2,934.98,15,1589.47,upi,Shipped,Yes,excellent,4,Mobile App,late delivery complaint
15721,ORD-2023-000084,Zoya Khan,zoya.khan21@gmail.com,+91-9888662348,05/05/2023,2023-05-16,Kolkata,West Bengal,399940,Monitor,NA,2439.48,0,2439.48,UPI,Shipped,No,2,13,Online,—
16460,ORD-2023-000085,Neha Verma,neha.verma60@yahoo.com,+91-9855901507,2024-04-24,2024-04-30,Kolkata,West Bengal,633239,Monitor,5,1346.09,20,5384,Net Banking,Returned,Yes,4.5,10,Mobile App,late delivery complaint
14306,ORD-2025-000086,Diya Mehta,NA,09887981603,2023-12-13,2023-12-20,Ahmedabad,Gujarat,302848,Monitor,2,1151.13,0,2302.26,Net Banking,Pending,No,3,1,Mobile App,call before delivery
17032,ORD-2022-000087,Kabir Patel,kabir.patel32@yahoo.com,09856189726,2023-03-18,2023-03-23,Mumbai,Maharashtra,408434,Printer,4,2099.84,0,8399.36,UPI,Shipped,False,4.5,12,Mobile App,call before delivery
14267,ORD-2025-000088,Kabir Khan,kabir.khan67@yahoo.com,null,2022-09-14,09-26-2022,Mumbai,Maharashtra,518784,Monitor,2,1660.13,20,2656.21,upi,Shipped,No,excellent,11,Mobile App,
16592,ORD-2022-000089,Diya Reddy,diya.reddy92@outlook.com,09876025948,2023-06-17,2023-06-20,Pune,Maharashtra,568340,Headphones,3,41.23,15,105.14,Net Banking,Cancelled,No,3,2,Mobile App,
10158,ORD-2023-000090,Aarav Mehta,aarav.mehta58@gmail.com,09866404064,2022-07-29,2022-08-03,Bengaluru,Karnataka,521485,Webcam,3,—,10,879.44,Credit Card,Completed,Yes,1,unknown,Online,promo code used
12952,ORD-2022-000091,Karan Das,karan.das52@yahoo.com,9365000541,2023-04-29,05-10-2023,Delhi,Delhi,172970,Headphones,4,821.42,0,3285.68,null,Cancelled,No,excellent,9,Store,call before delivery
12255,ORD-2023-000092,Isha Mehta,isha.mehta55@yahoo.com,9332965784,2023-08-29,2023-09-03,Jaipur,Rajasthan,271619,Mouse,5,927.28,0,"4,636.40",credit_card,Shipped,No,NA,NA,Partner,Priority customer
15234,ORD-2022-000093,Ananya Mehta,ananya.mehta34@example.com,6434758564,2025-12-21,2025-12-22,Kolkata,West Bengal,545353,Hard Drive,5,675.55,0,3377.75,Cash,Cancelled,No,5.0,6,Store,late delivery complaint
12081,ORD-2024-000094,Diya Nair,diya.nair81@example.com,9313666361,2022-03-12,2022-03-17,Mumbai,Maharashtra,273691,Mouse,5,55.51,0,$277.55,upi,Shipped,Yes,5.0,1,Partner,Priority customer
11857,ORD-2022-000095,Neha Das,—,9233424036,09-17-2023,2023-09-26,Mumbai,Maharashtra,161707,Keyboard,1,808.50,15,687.23,Cash,Shipped,Yes,4,7,Mobile App,N/A
11386,ORD-2024-000096,Zoya Nair,unknown,09848612439,04-02-2022,06/04/2022,Jaipur,Rajasthan,658685,Printer,2,unknown,0,3436.24,credit_card,Shipped,null,1,11,Mobile App,promo code used
13118,ORD-2022-000097,Sana Gupta,sana.gupta18@example.com,09854770958,24/12/2024,2024-12-26,Kochi,Kerala,399280,Keyboard,2,509.20,10,916.56,Credit Card,Shipped,Yes,5.0,10,Store,late delivery complaint
16554,ORD-2023-000098,Karan Khan,karan.khan54@outlook.com,+91-9825889673,2022-10-04,2022-10-11,Ahmedabad,Gujarat,397097,Monitor,2,1645.74,15,2797.76,UPI,Returned,No,5.0,3,Partner,Priority customer
13383,ORD-2023-000099,Rahul Das,rahul.das83@yahoo.com,09891594977,2022-05-16,2022-05-19,Hyderabad,Telangana,150383,Webcam,4,2169.82,null,7811.35,Credit Card,Returned,No,3,10,Store,promo code used
15919,ORD-2022-000100,Rohan Joshi,rohan.joshi19@yahoo.com,8970903722,2024-04-26,05-02-2024,Pune,Maharashtra,659263,Printer,4,76.91,10,276.88,credit_card,Completed,No,1,2,Online,null
17007,ORD-2025-000101,Arjun Sharma,arjun.sharma7@example.com,NA,21/03/2023,unknown,Hyderabad,Telangana,201963,Tablet,4,1142.54,10,4113.14,UPI,Completed,No,4,14,Store,call before delivery
13389,ORD-2023-000102,Rahul Iyer,rahul.iyer89@gmail.com,09891717739,2025-03-16,2025-03-28,Delhi,Delhi,631920,Headphones,5,2468.17,10,11106.77,Cash,Returned,No,5,12,Mobile App,late delivery complaint
10050,ORD-2022-000103,Neha Gupta,neha.gupta50@outlook.com,09896657974,2025-03-11,2025-03-21,Pune,Maharashtra,168744,Keyboard,1,"2,082.63",0,2082.63,credit_card,Completed,No,5.0,2,Mobile App,call before delivery
14071,ORD-2023-000104,Ananya Nair,ananya.nair71@outlook.com,+91-9874781956,2024-12-11,2024-12-16,Hyderabad,Telangana,651219,Headphones,2,293.89,unknown,440.83,Credit Card,N/A,Yes,1,13,Store,unknown
14584,ORD-2022-000105,Meera Mehta,meera.mehta84@outlook.com,+91-9855464764,2023-10-15,null,Ahmedabad,Gujarat,577494,Keyboard,2,2359.05,25,3538.58,PayPal,Returned,No,excellent,4,Mobile App,
15449,ORD-2024-000106,Priya Gupta,priya.gupta49@example.com,09878175850,2022-03-03,2022-03-05,Jaipur,Rajasthan,543526,Monitor,4,295.52,10,1063.87,Cash,Pending,Yes,excellent,10,Partner,
15615,ORD-2025-000107,Ananya Nair,ananya.nair15@gmail.com,8643862317,2023-03-22,2023-03-25,Delhi,Delhi,565845,Mouse,5,2259.59,20,9038.36,Credit Card,Cancelled,No,5.0,12,Store,
14550,ORD-2025-000108,Karan Gupta,karan.gupta50@example.com,6589356566,2023-08-14,2023-08-25,Bengaluru,Karnataka,554727,Webcam,2,348.68,0,697.36,Cash,Completed,0,4,12,Mobile App,Priority customer
14997,ORD-2022-000109,null,meera.nair97@gmail.com,09887036318,2025-07-21,unknown,Lucknow,Uttar Pradesh,383095,Webcam,5,791.56,0,not available,PayPal,Pending,,3,12,Store,promo code used
11481,ORD-2022-000110,Ananya Patel,ananya.patel81@yahoo.com,09817291483,11-12-2022,2022-11-20,Kochi,Kerala,668389,Tablet,4,"1,929.36",0,7717.44,Credit Card,Shipped,No,1,5,Partner,promo code used
16015,ORD-2023-000111,Arjun Gupta,arjun.gupta15@yahoo.com,,26/01/2025,2025-01-27,Kolkata,West Bengal,235806,Hard Drive,1,2081.75,0,2081.75,Credit Card,Cancelled,No,1,7,Mobile App,call before delivery
10568,ORD-2025-000112,Sana Iyer,sana.iyer68@example.com,—,2025-08-14,2025-08-22,Bengaluru,Karnataka,519452,Mouse,1,372.52,25,279.39,Cash,Returned,No,4.5,5,Online,null
16229,ORD-2024-000113,Neha Iyer,neha.iyer29@yahoo.com,+91-9894931806,2022-03-22,2022-03-29,Ahmedabad,Gujarat,432680,Webcam,2,757.69,10,1363.84,Net Banking,Shipped,NA,excellent,8,Store,—
10409,ORD-2024-000114,Karan Patel,karan.patel9@example.com,7448877631,2022-12-16,2022-12-26,Kochi,Kerala,157801,Mouse,1,2047.23,0,2047.23,PayPal,Shipped,0,5,2,Mobile App,
11688,ORD-2023-000115,Neha Reddy,neha.reddy88@example.com,+91-9850426348,2023-05-05,2023-05-08,Pune,Maharashtra,642196,Monitor,5,1733.81,15,7368.69,Net Banking,Pending,No,—,1,Online,NA
15909,ORD-2025-000116,Zoya Joshi,zoya.joshi9@outlook.com,09839616854,12/02/2023,2023-02-24,Pune,Maharashtra,589976,Mouse,3,586.71,0,1760.13,UPI,Cancelled,Yes,2,14,Store,
